Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_TCIU_IDLE,CPC_CPC_UTCL2IU_BUSY,CPF_CPF_STAT_STALL,CPF_CPF_TCIU_BUSY,GRBM_COUNT,SPI_RA_VGPR_SIMD_FULL_CSN,SPI_SWC_CSC_WR,SQ_INSTS_GDS,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MFMA_F16,SQ_INSTS_VALU_MFMA_F8,SQ_INSTS_VALU_TRANS_F32,SQ_LDS_UNALIGNED_STALL,SQ_LEVEL_WAVES,TA_BUFFER_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCP_TCC_CC_READ_REQ_sum,TD_ATOMIC_WAVEFRONT_sum,TD_SPI_STALL_sum
14,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744192464091,3098744194226180,15,11,9802925.0,45352.0,13994.0,661174.0,9943579.0,171817528.0,7296.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,13.0
15,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744194441701,3098744196512671,16,11,11542498.0,119152.0,27238.0,1043711.0,11709905.0,170795500.0,7296.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4579248.0,77712.0,0.0,9907200.0,4579248.0,0.0,0.0,13.0
16,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744196800672,3098744198144279,17,11,7451082.0,55621.0,8651.0,264562.0,7548485.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,147.0
17,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744198352320,3098744199695886,18,11,7459557.0,0.0,3137.0,8926.0,7551034.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,159.0
18,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744199906487,3098744201250454,19,11,7456443.0,0.0,3071.0,8828.0,7547957.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,157.0
19,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744201485615,3098744202827942,20,11,7444517.0,0.0,304.0,27415.0,7536013.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,145.0
20,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744203043663,3098744204386269,21,11,7440084.0,0.0,304.0,26567.0,7531322.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,147.0
21,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744204594150,3098744205936117,22,11,7443882.0,0.0,304.0,25056.0,7535116.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,147.0
22,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744206144438,3098744207787126,23,11,9126221.0,141163.0,20728.0,779826.0,9250061.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4811424.0,190944.0,0.0,9907200.0,4811424.0,0.0,0.0,155.0
23,0,1,87055,87055,155648,256,26112,0,108,132,112,64,_ZN7ck_tile6kentryINS_6gfx9_tELi2ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi128ELi16ELi96ELi32ELi80EEEENS6_IJLi4ELi1ELi1EEEENS6_IJLi32ELi32ELi16EEEES8_S9_Lb1EEELb1ENS_17ComposedAttentionILj0ELb1EEENS_30SimplifiedGenericAttentionMaskILb0EEELb0ENS_14TileFmhaTraitsILb1ELb1ELb1ELb1ELb0ELNS_22BlockAttentionBiasEnumE0ELb0ELb0ELb0ELNS_28BlockAttentionQuantScaleEnumE0ELin1ELb0EEEEENS_35BlockFmhaPipelineQXKSVSCustomPolicyILb1ELb1ELi3ELi3EEEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb1ELb1ELb1ELNS_21memory_operation_enumE0EEEvEEEEJNSS_21FmhaFwdGroupModeKargsEEEEvDpT2_,3098744208084088,3098744209427574,24,11,7453044.0,340.0,3089.0,25562.0,7544312.0,0.0,0.0,0.0,0.0,0.0,0.0,6014336.0,0.0,0.0,4479744.0,29184.0,0.0,9907200.0,4479744.0,0.0,0.0,130.0
